idcaja_cierre_item#fecha_creado#creado_por#fk_idcaja_cierre#fk_idcaja_cierre_detalle#maquina
6360#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#1#PC2
6361#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#2#PC2
6362#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#3#PC2
6363#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#4#PC2
6364#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#5#PC2
6365#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#6#PC2
6366#2023-01-18 11:08:00.443941#PROGRAMADOR ADMIN#1#7#PC2
6667#2023-01-21 21:54:52.922551#LUCY#12#309#PC2
6668#2023-01-21 21:54:52.922551#LUCY#12#310#PC2
6669#2023-01-21 21:54:52.922551#LUCY#12#311#PC2
6670#2023-01-21 21:54:52.922551#LUCY#12#312#PC2
6671#2023-01-21 21:54:52.922551#LUCY#12#313#PC2
6672#2023-01-21 21:54:52.922551#LUCY#12#314#PC2
6673#2023-01-21 21:54:52.922551#LUCY#12#315#PC2
6674#2023-01-21 21:54:52.922551#LUCY#12#316#PC2
6675#2023-01-21 21:54:52.922551#LUCY#12#317#PC2
6676#2023-01-21 21:54:52.922551#LUCY#12#318#PC2
6677#2023-01-21 21:54:52.922551#LUCY#12#319#PC2
6678#2023-01-21 21:54:52.922551#LUCY#12#320#PC2
6679#2023-01-21 21:54:52.922551#LUCY#12#321#PC2
6680#2023-01-21 21:54:52.922551#LUCY#12#322#PC2
6681#2023-01-21 21:54:52.922551#LUCY#12#323#PC2
6682#2023-01-21 21:54:52.922551#LUCY#12#324#PC2
6683#2023-01-21 21:54:52.922551#LUCY#12#325#PC2
6684#2023-01-21 21:54:52.922551#LUCY#12#326#PC2
6685#2023-01-21 21:54:52.922551#LUCY#12#327#PC2
6686#2023-01-21 21:54:52.922551#LUCY#12#328#PC2
6687#2023-01-21 21:54:52.922551#LUCY#12#329#PC2
6688#2023-01-21 21:54:52.922551#LUCY#12#330#PC2
6689#2023-01-21 21:54:52.922551#LUCY#12#331#PC2
6690#2023-01-21 21:54:52.922551#LUCY#12#332#PC2
6691#2023-01-21 21:54:52.922551#LUCY#12#333#PC2
6692#2023-01-21 21:54:52.922551#LUCY#12#334#PC2
6693#2023-01-21 21:54:52.922551#LUCY#12#335#PC2
6694#2023-01-21 21:54:52.922551#LUCY#12#336#PC2
6695#2023-01-21 21:54:52.922551#LUCY#12#337#PC2
6696#2023-01-21 21:54:52.922551#LUCY#12#338#PC2
6697#2023-01-21 21:54:52.922551#LUCY#12#339#PC2
6698#2023-01-21 21:54:52.922551#LUCY#12#340#PC2
6699#2023-01-21 21:54:52.922551#LUCY#12#341#PC2
6700#2023-01-21 21:54:52.922551#LUCY#12#342#PC2
6701#2023-01-21 21:54:52.922551#LUCY#12#343#PC2
6702#2023-01-21 21:54:52.922551#LUCY#12#344#PC2
6703#2023-01-21 21:54:52.922551#LUCY#12#345#PC2
6704#2023-01-21 21:54:52.922551#LUCY#12#346#PC2
6705#2023-01-21 21:54:52.922551#LUCY#12#347#PC2
6706#2023-01-21 21:54:52.922551#LUCY#12#348#PC2
6707#2023-01-21 21:54:52.922551#LUCY#12#349#PC2
6708#2023-01-21 21:54:52.922551#LUCY#12#350#PC2
6709#2023-01-21 21:54:52.922551#LUCY#12#351#PC2
6710#2023-01-21 21:54:52.922551#LUCY#12#352#PC2
6711#2023-01-21 21:54:52.922551#LUCY#12#353#PC2
6712#2023-01-21 21:54:52.922551#LUCY#12#354#PC2
6713#2023-01-21 21:54:52.922551#LUCY#12#355#PC2
6714#2023-01-21 21:54:52.922551#LUCY#12#356#PC2
6715#2023-01-22 06:03:01.357973#CARLOS#13#357#PC2
6716#2023-01-22 06:03:01.357973#CARLOS#13#358#PC2
6717#2023-01-22 06:03:01.357973#CARLOS#13#359#PC2
6718#2023-01-22 06:03:01.357973#CARLOS#13#360#PC2
6719#2023-01-22 06:03:01.357973#CARLOS#13#361#PC2
6720#2023-01-22 06:03:01.357973#CARLOS#13#362#PC2
6721#2023-01-22 06:03:01.357973#CARLOS#13#363#PC2
6722#2023-01-22 06:03:01.357973#CARLOS#13#364#PC2
6723#2023-01-22 06:03:01.357973#CARLOS#13#365#PC2
6724#2023-01-22 06:03:01.357973#CARLOS#13#366#PC2
6725#2023-01-22 06:03:01.357973#CARLOS#13#367#PC2
6726#2023-01-22 06:03:01.357973#CARLOS#13#368#PC2
6727#2023-01-22 06:03:01.357973#CARLOS#13#369#PC2
6728#2023-01-22 06:03:01.357973#CARLOS#13#370#PC2
6729#2023-01-22 06:03:01.357973#CARLOS#13#371#PC2
6730#2023-01-22 06:03:01.357973#CARLOS#13#372#PC2
6731#2023-01-22 06:03:01.357973#CARLOS#13#373#PC2
6732#2023-01-22 06:03:01.357973#CARLOS#13#374#PC2
6733#2023-01-22 06:03:01.357973#CARLOS#13#375#PC2
6734#2023-01-22 06:03:01.357973#CARLOS#13#376#PC2
6735#2023-01-22 06:03:01.357973#CARLOS#13#377#PC2
6736#2023-01-22 06:03:01.357973#CARLOS#13#378#PC2
6737#2023-01-22 06:03:01.357973#CARLOS#13#379#PC2
6738#2023-01-22 06:03:01.357973#CARLOS#13#380#PC2
6739#2023-01-22 06:03:01.357973#CARLOS#13#381#PC2
6740#2023-01-22 06:03:01.357973#CARLOS#13#382#PC2
6741#2023-01-22 06:03:01.357973#CARLOS#13#383#PC2
6742#2023-01-22 06:03:01.357973#CARLOS#13#384#PC2
6743#2023-01-22 06:03:01.357973#CARLOS#13#385#PC2
6744#2023-01-22 06:03:01.357973#CARLOS#13#386#PC2
